quality_real,quality_prevista,residuo,alcohol,density
6,5.658048028558316,0.3419519714416843,10.0,0.9964
5,5.4625558470765805,-0.4625558470765805,9.4,0.9982
5,5.462595760747463,-0.46259576074746267,9.4,0.9981
5,5.495856323399418,-0.4958563233994182,9.5,0.9961
5,5.7232919163939915,-0.7232919163939915,10.2,0.9956
4,5.333744445582287,-1.3337444455822869,9.0,0.9956
6,5.788336235875257,0.21166376412474275,10.4,0.9953
5,5.495736582386772,-0.49573658238677165,9.5,0.9964
4,5.3655681160824775,-1.3655681160824775,9.1,0.9972
6,5.398030405316786,0.6019695946832142,9.2,0.9972
6,5.398030405316786,0.6019695946832142,9.2,0.9972
6,6.145102108085593,-0.14510210808559343,11.5,0.9961
5,5.495856323399418,-0.4958563233994182,9.5,0.9961
5,5.495976064412066,-0.49597606441206565,9.5,0.9958
5,5.495856323399418,-0.4958563233994182,9.5,0.9961
6,5.8200401653628,0.17995983463719956,10.5,0.9972
5,5.527999303266668,-0.5279993032666681,9.6,0.9969
5,5.49553701403236,-0.49553701403235983,9.5,0.9969
5,5.49553701403236,-0.49553701403235983,9.5,0.9969
5,5.430492694551096,-0.43049269455109584,9.3,0.9972
5,5.430492694551096,-0.43049269455109584,9.3,0.9972
5,5.430532608221978,-0.43053260822197803,9.3,0.9971
6,5.43057252189286,0.5694274781071398,9.3,0.997
5,5.560381765159212,-0.560381765159212,9.7,0.9971
5,5.398030405316786,-0.3980304053167858,9.2,0.9972
5,5.5601821968048,-0.5601821968048002,9.7,0.9976
5,5.495576927703242,-0.495576927703242,9.5,0.9968
5,5.495576927703242,-0.495576927703242,9.5,0.9968
5,5.4627953291018745,-0.4627953291018745,9.4,0.9976
6,5.592724313380874,0.4072756866191263,9.8,0.9974
5,5.49553701403236,-0.49553701403235983,9.5,0.9969
5,5.560661160855389,-0.5606611608553891,9.7,0.9964
5,5.560661160855389,-0.5606611608553891,9.7,0.9964
5,5.463114638468934,-0.46311463846893375,9.4,0.9968
5,5.7228129523434035,-0.7228129523434035,10.2,0.9968
6,5.689831785387624,0.31016821461237587,10.1,0.9981
7,6.6335132524228735,0.3664867475771265,13.0,0.9924
4,6.113158696572756,-2.1131586965727562,11.4,0.9948
7,5.7552153710713885,1.2447846289286115,10.3,0.99695
5,5.430372953538448,-0.4303729535384484,9.3,0.9975
5,5.496115762260153,-0.4961157622601533,9.5,0.99545
5,5.398469455696492,-0.3984694556964916,9.2,0.9961
6,5.3984494988610505,0.6015505011389495,9.2,0.99615
7,5.9165489323063145,1.0834510676936855,10.8,0.9994
7,5.9165489323063145,1.0834510676936855,10.8,0.9994
5,5.430871874424478,-0.4308718744244784,9.3,0.99625
5,5.463194465810698,-0.4631944658106981,9.4,0.9966
7,5.819720855995741,1.1802791440042588,10.5,0.998
6,6.437362495371579,-0.4373624953715787,12.4,0.99585
6,5.657868417039345,0.34213158296065505,10.0,0.99685
6,5.722333988292815,0.2776660117071854,10.2,0.998
5,5.690709886147037,-0.6907098861470367,10.1,0.9959
6,5.592724313380874,0.4072756866191263,9.8,0.9974
5,5.819960338021035,-0.8199603380210352,10.5,0.9974
5,5.982750748243167,-0.9827507482431672,11.0,0.9962
5,5.365767684436889,-0.36576768443688934,9.1,0.9967
5,5.560940556551565,-0.5609405565515653,9.7,0.9957
5,5.4956767118804475,-0.4956767118804475,9.5,0.99655
6,5.463274293152463,0.5367257068475366,9.4,0.9964
5,5.46355368884864,-0.46355368884863957,9.4,0.9957
5,5.496195589601919,-0.49619558960191856,9.5,0.99525
6,5.657349539317874,0.3426504606821261,10.0,0.99815
4,5.787478091951286,-1.7874780919512858,10.4,0.99745
6,5.820459258907065,0.17954074109293483,10.5,0.99615
6,5.495736582386772,0.5042634176132283,9.5,0.9964
5,5.59232517667205,-0.5923251766720501,9.8,0.9984
6,5.820459258907065,0.17954074109293483,10.5,0.99615
5,5.982491309382432,-0.9824913093824321,11.0,0.99685
7,6.373695197535755,0.6263048024642446,12.2,0.9927
6,5.62564560983033,0.3743543901696702,9.9,0.99625
6,5.527560252886961,0.4724397471130386,9.6,0.998
5,5.982491309382432,-0.9824913093824321,11.0,0.99685
6,5.333245524696258,0.6667544753037422,9.0,0.99685
6,5.33328543836714,0.66671456163286,9.0,0.99675
6,5.33328543836714,0.66671456163286,9.0,0.99675
6,5.3982100168357565,0.6017899831642435,9.2,0.99675
6,5.33328543836714,0.66671456163286,9.0,0.99675
6,5.333245524696258,0.6667544753037422,9.0,0.99685
5,5.430532608221978,-0.43053260822197803,9.3,0.9971
6,5.949071092046947,0.05092890795305305,10.9,0.99925
6,5.5934228026213155,0.4065771973786845,9.8,0.99565
7,5.396892865696638,1.6031071343033618,9.2,1.00005
7,5.396892865696638,1.6031071343033618,9.2,1.00005
6,5.624827379577241,0.37517262042275856,9.9,0.9983
5,5.495556970867801,-0.4955569708678009,9.5,0.99685
5,5.430851917589037,-0.4308519175890373,9.3,0.9963
6,5.593223234266904,0.4067767657330963,9.8,0.99615
6,5.624827379577241,0.37517262042275856,9.9,0.9983
6,5.657209841469785,0.34279015853021466,10.0,0.9985
6,5.625266429956947,0.37473357004305274,9.9,0.9972
5,5.819481373970447,-0.8194813739704472,10.5,0.9986
5,5.4959361507411835,-0.49593615074118347,9.5,0.9959
6,5.625266429956947,0.37473357004305274,9.9,0.9972
5,5.430672306070067,-0.43067230607006657,9.3,0.99675
5,5.3977110959497265,-0.39771109594972653,9.2,0.998
5,5.398190060000315,-0.3981900600003154,9.2,0.9968
5,5.463114638468934,-0.46311463846893375,9.4,0.9968
7,5.8190622804261825,1.1809377195738175,10.5,0.99965
5,5.430871874424478,-0.4308718744244784,9.3,0.99625
4,5.463573645684081,-1.4635736456840807,9.4,0.99565
5,5.658307467419051,-0.6583074674190508,10.0,0.99575
5,5.430851917589037,-0.4308519175890373,9.3,0.9963
5,5.948811653186211,-0.948811653186211,10.9,0.9999
7,5.7228129523434035,1.2771870476565965,10.2,0.9968
4,5.591586773760727,-1.591586773760727,9.8,1.00025
8,6.56663290408102,1.43336709591898,12.8,0.9973
6,5.462356278722169,0.5376437212778313,9.4,0.9987
6,5.689233080324389,0.3107669196756113,10.1,0.9996
6,5.885244139527593,0.11475586047240682,10.7,0.9965
6,5.689233080324389,0.3107669196756113,10.1,0.9996
5,5.689332864501595,-0.689332864501595,10.1,0.99935
5,5.462895113279081,-0.46289511327908084,9.4,0.99735
5,5.462176667203198,-0.46217666720319794,9.4,0.99915
6,5.885244139527593,0.11475586047240682,10.7,0.9965
6,5.462356278722169,0.5376437212778313,9.4,0.9987
6,5.689233080324389,0.3107669196756113,10.1,0.9996
8,6.501588584599754,1.4984114154002457,12.6,0.9976
7,5.819281805616035,1.1807181943839646,10.5,0.9991
6,5.429933903158743,0.5700660968412574,9.3,0.9986
7,5.625266429956947,1.3747335700430527,9.9,0.9972
5,5.36560802975336,-0.3656080297533597,9.1,0.9971
7,5.819281805616035,1.1807181943839646,10.5,0.9991
5,5.591626687431609,-0.5916266874316092,9.8,1.00015
5,5.591626687431609,-0.5916266874316092,9.8,1.00015
6,5.754117745122124,0.24588225487787607,10.3,0.9997
6,5.755315155248595,0.24468484475140517,10.3,0.9967
7,5.852342799913579,1.147657200086421,10.6,0.9976
5,5.396513685823256,-0.39651368582325563,9.2,1.001
7,5.852342799913579,1.147657200086421,10.6,0.9976
5,5.819760769666624,-0.8197607696666243,10.5,0.9979
6,5.7542374861347705,0.24576251386522951,10.3,0.9994
6,5.690510317792625,0.30948968220737516,10.1,0.9964
6,5.493740898842653,0.5062591011573474,9.5,1.0014
5,5.494259776564124,-0.4942597765641237,9.5,1.0001
5,5.624907206919006,-0.6249072069190058,9.9,0.9981
5,5.5273407276971085,-0.5273407276971085,9.6,0.99855
5,5.5595036643998,-0.5595036643998004,9.7,0.9993
5,5.527380641367991,-0.5273806413679907,9.6,0.99845
6,5.885244139527593,0.11475586047240682,10.7,0.9965
6,5.690151094754683,0.3098489052453166,10.1,0.9973
5,5.656850618431844,-0.6568506184318439,10.0,0.9994
5,5.4958962370703,-0.4958962370703004,9.5,0.996
5,5.397990491645904,-0.3979904916459036,9.2,0.9973
6,5.429454939108155,0.5705450608918454,9.3,0.9998
5,5.463194465810698,-0.4631944658106981,9.4,0.9966
6,5.4945391722603,0.5054608277397001,9.5,0.9994
6,5.4945391722603,0.5054608277397001,9.5,0.9994
6,5.495576927703242,0.504423072296758,9.5,0.9968
6,5.429454939108155,0.5705450608918454,9.3,0.9998
6,5.463433947835992,0.5365660521640079,9.4,0.996
6,5.49503809314633,0.5049619068536702,9.5,0.99815
5,5.4627953291018745,-0.4627953291018745,9.4,0.9976
5,5.982650964065961,-0.9826509640659609,11.0,0.99645
6,5.982750748243167,0.017249251756832784,11.0,0.9962
5,5.689233080324389,-0.6892330803243887,10.1,0.9996
6,5.786999127900698,0.21300087209930219,10.4,0.99865
7,6.143984525300887,0.8560154746991131,11.5,0.9989
6,5.786999127900698,0.21300087209930219,10.4,0.99865
7,6.143984525300887,0.8560154746991131,11.5,0.9989
5,5.55932405288083,-0.5593240528808296,9.7,0.99975
5,5.430432824044773,-0.43043282404477257,9.3,0.99735
6,5.4946988269438295,0.5053011730561705,9.5,0.999
6,5.396314117468844,0.6036858825311562,9.2,1.0015
6,5.396314117468844,0.6036858825311562,9.2,1.0015
7,6.144423575680594,0.8555764243194064,11.5,0.9978
5,6.144343748338828,-1.1443437483388283,11.5,0.998
6,5.559144441361859,0.4408555586381411,9.7,1.0002
5,5.495058049981771,-0.49505804998177094,9.5,0.9981
6,6.468966640681916,-0.4689666406819164,12.5,0.998
6,6.468966640681916,-0.4689666406819164,12.5,0.998
6,5.462915070114522,0.5370849298854781,9.4,0.9973
5,5.982910402926697,-0.9829104029266968,11.0,0.9958
7,6.2099468592124465,0.7900531407875535,11.7,0.9963
7,6.371100808928402,0.6288991910715982,12.2,0.9992
6,6.470243878150153,-0.47024387815015256,12.5,0.9948
5,5.755035759552419,-0.7550357595524186,10.3,0.9974
6,6.143226165554123,-0.1432261655541227,11.5,1.0008
7,5.59180629895058,1.40819370104942,9.8,0.9997
6,5.396912822532079,0.6030871774679207,9.2,1.0
6,6.07973847923727,-0.07973847923727018,11.3,0.9972
6,5.592405004013815,0.40759499598618465,9.8,0.9982
6,5.592405004013815,0.40759499598618465,9.8,0.9982
6,5.8836076790214165,0.11639232097858354,10.7,1.0006
5,5.624987034260771,-0.6249870342607711,9.9,0.9979
7,6.405039903985358,0.594960096014642,12.3,0.9955
6,6.306415712485078,-0.3064157124850784,12.0,0.9986
6,5.657449323495079,0.34255067650492066,10.0,0.9979
6,5.462076883025992,0.5379231169740084,9.4,0.9994
6,5.623989192488711,0.3760108075112889,9.9,1.0004
6,5.462076883025992,0.5379231169740084,9.4,0.9994
5,5.430412867209331,-0.4304128672093306,9.3,0.9974
5,6.629761367359931,-1.6297613673599312,13.0,1.0018
6,6.276907034896065,-0.27690703489606516,11.9,0.9912
6,6.567351350156902,-0.5673513501569021,12.8,0.9955
5,5.981194115078755,-0.9811941150787549,11.0,1.0001
7,6.209667463516269,0.7903325364837306,11.7,0.997
7,5.786460293343786,1.2135397066562144,10.4,1.0
6,5.591287421229109,0.4087125787708912,9.8,1.001
5,5.462915070114522,-0.46291507011452193,9.4,0.9973
6,5.624867293248124,0.3751327067518764,9.9,0.9982
5,5.656930445773609,-0.6569304457736092,10.0,0.9992
5,5.722014678925756,-0.7220146789257562,10.2,0.9988
7,5.655733035647138,1.3442669643528617,10.0,1.0022
6,6.241770529712637,-0.24177052971263713,11.8,0.9979
7,5.655733035647138,1.3442669643528617,10.0,1.0022
5,5.331988244063463,-0.3319882440634627,9.0,1.0
5,5.461917228342463,-0.46191722834246285,9.4,0.9998
7,6.307373640586255,0.6926263594137447,12.0,0.9962
5,5.6251466889443,-0.6251466889442998,9.9,0.9975
6,5.2359185274996545,0.7640814725003455,8.7,0.9967
6,5.8527020229515205,0.14729797704847947,10.6,0.9967
5,5.398549283038257,-0.3985492830382569,9.2,0.9959
6,5.915750658888667,0.08424934111133275,10.8,1.0014
7,6.241570961358226,0.7584290386417738,11.8,0.9984
6,5.9811142877369905,0.018885712263009502,11.0,1.0003
7,6.307373640586255,0.6926263594137447,12.0,0.9962
6,6.728345645189328,-0.7283456451893278,13.3,0.9988
6,5.917147637369551,0.08285236263044915,10.8,0.9979
6,5.462875156443639,0.5371248435563611,9.4,0.9974
6,5.656052345014197,0.3439476549858034,10.0,1.0014
6,5.462875156443639,0.5371248435563611,9.4,0.9974
6,5.462875156443639,0.5371248435563611,9.4,0.9974
5,5.3977110959497265,-0.39771109594972653,9.2,0.998
6,5.560062455792153,0.43993754420784725,9.7,0.9979
6,5.397671182278844,0.6023288177211557,9.2,0.9981
6,5.527879562254021,0.47212043774597934,9.6,0.9972
6,5.397671182278844,0.6023288177211557,9.2,0.9981
7,5.657329582482433,1.3426704175175672,10.0,0.9982
8,6.601050963188564,1.3989490368114357,12.9,0.9924
6,5.656052345014197,0.3439476549858034,10.0,1.0014
5,5.495097963652653,-0.49509796365265313,9.5,0.998
5,5.365647943424242,-0.3656479434242419,9.1,0.997
5,5.624268588184888,-0.6242685881848882,9.9,0.9997
7,6.6303201587522835,0.36967984124771647,13.0,1.0004
5,5.624388329197535,-0.6243883291975347,9.9,0.9994
6,5.981712992800226,0.018287007199774052,11.0,0.9988
6,5.981712992800226,0.018287007199774052,11.0,0.9988
5,5.463314206823346,-0.46331420682334556,9.4,0.9963
5,5.624388329197535,-0.6243883291975347,9.9,0.9994
6,5.918345047496022,0.08165495250397825,10.8,0.9949
6,5.818922582578094,0.18107741742190608,10.5,1.0
6,5.819162064603388,0.18083793539661208,10.5,0.9994
5,5.365488288740712,-0.36548828874071226,9.1,0.9974
6,5.69043049045086,0.3095695095491404,10.1,0.9966
6,5.917067810027786,0.08293218997221441,10.8,0.9981
7,5.91646910496455,1.0835308950354499,10.8,0.9996
6,6.0798183065790345,-0.07981830657903455,11.3,0.997
4,5.527520339216079,-1.5275203392160792,9.6,0.9981
6,5.494818567956477,0.5051814320435231,9.5,0.9987
5,5.494818567956477,-0.49481856795647694,9.5,0.9987
5,5.43073217657639,-0.43073217657638985,9.3,0.9966
7,6.209028844782152,0.7909711552178482,11.7,0.9986
5,5.495018136310889,-0.49501813631088876,9.5,0.9982
5,5.428816320374036,-0.42881632037403605,9.3,1.0014
6,6.209667463516269,-0.20966746351626941,11.7,0.997
5,5.820678784096918,-0.8206787840969181,10.5,0.9956
6,5.786619948027315,0.21338005197268473,10.4,0.9996
5,5.625106775273418,-0.6251067752734176,9.9,0.9976
7,6.242049925408814,0.7579500745911858,11.8,0.9972
7,6.4051596449980055,0.5948403550019945,12.3,0.9952
5,5.950567854705035,-0.9505678547050351,10.9,0.9955
7,5.98211212950905,1.0178878704909504,11.0,0.9978
5,5.950567854705035,-0.9505678547050351,10.9,0.9955
7,6.4051596449980055,0.5948403550019945,12.3,0.9952
6,6.113118782901874,-0.11311878290187405,11.4,0.9949
6,5.851863835862991,0.14813616413700892,10.6,0.9988
5,5.430253212525802,-0.43025321252580184,9.3,0.9978
6,5.786580034356433,0.2134199656435669,10.4,0.9997
7,5.98211212950905,1.0178878704909504,11.0,0.9978
5,5.3979505779750205,-0.39795057797502054,9.2,0.9974
6,6.5672316091442555,-0.5672316091442555,12.8,0.9958
5,5.494140035551476,-0.49414003555147623,9.5,1.0004
6,5.62430850185577,0.37569149814422964,9.9,0.9996
5,5.494140035551476,-0.49414003555147623,9.5,1.0004
6,5.723212089052227,0.2767879109477729,10.2,0.9958
6,6.046717398610609,-0.04671739861060864,11.2,0.9986
6,5.62430850185577,0.37569149814422964,9.9,0.9996
5,5.431330881639625,-0.4313308816396253,9.3,0.9951
8,5.5922054356594035,2.4077945643405965,9.8,0.9987
6,6.0790998605031525,-0.07909986050315254,11.3,0.9988
7,6.04488136975002,0.9551186302499799,11.2,1.0032
7,6.177484569978138,0.8225154300218618,11.6,0.9963
7,6.470802669542506,0.5291973304574942,12.5,0.9934
6,5.689632217033212,0.3103677829667877,10.1,0.9986
5,5.8190822372616235,-0.8190822372616235,10.5,0.9996
5,6.0474358446864915,-1.0474358446864915,11.2,0.9968
6,5.722852866014286,0.27714713398571433,10.2,0.9967
6,5.9165489323063145,0.08345106769368549,10.8,0.9994
6,5.9165489323063145,0.08345106769368549,10.8,0.9994
6,5.365288720386301,0.6347112796136987,9.1,0.9979
6,5.657888373874786,0.34211162612521395,10.0,0.9968
7,6.046238434560021,0.9537615654399794,11.2,0.9998
5,6.0156121741863,-1.0156121741863,11.1,0.9952
8,6.760807934423637,1.239192065576363,13.4,0.9988
5,5.75455679550183,-0.7545567955018297,10.3,0.9986
5,5.527240943519903,-0.527240943519903,9.6,0.9988
7,6.046238434560021,0.9537615654399794,11.2,0.9998
3,5.331668934696404,-2.3316689346964043,9.0,1.0008
6,6.0795788245537405,-0.07957882455374055,11.3,0.9976
5,5.430093557842272,-0.4300935578422722,9.3,0.9982
5,6.242129752750579,-1.2421297527505786,11.8,0.997
5,5.333105826848169,-0.33310582684816925,9.0,0.9972
6,5.39743170025355,0.6025682997464497,9.2,0.9987
5,5.558984786678329,-0.5589847866783293,9.7,1.0006
6,6.144263920997064,-0.14426392099706398,11.5,0.9982
6,6.957218130335666,-0.9572181303356659,14.0,0.9947
6,5.396912822532079,0.6030871774679207,9.2,1.0
5,5.593602414140286,-0.5936024141402862,9.8,0.9952
5,5.851544526495932,-0.8515445264959318,10.6,0.9996
6,6.112280595813344,-0.11228059581334371,11.4,0.997
6,5.7866598616981975,0.21334013830180254,10.4,0.9995
5,5.852542368267991,-0.8525423682679909,10.6,0.9971
6,5.4625558470765805,0.5374441529234195,9.4,0.9982
5,5.722014678925756,-0.7220146789257562,10.2,0.9988
5,5.560022542121271,-0.5600225421212706,9.7,0.998
6,5.982152043179932,0.017847956820068234,11.0,0.9977
5,5.722014678925756,-0.7220146789257562,10.2,0.9988
6,5.689712044374977,0.3102879556250233,10.1,0.9984
5,5.395875067089138,-0.395875067089138,9.2,1.0026
8,6.209906945541564,1.7900930544584357,11.7,0.9964
5,5.462396192393051,-0.46239619239305085,9.4,0.9986
5,5.462396192393051,-0.46239619239305085,9.4,0.9986
6,6.761526380499519,-0.7615263804995189,13.4,0.997
5,5.657569064507727,-0.6575690645077268,10.0,0.9976
5,5.657569064507727,-0.6575690645077268,10.0,0.9976
6,5.657329582482433,0.3426704175175672,10.0,0.9982
7,5.916229622939256,1.0837703770607439,10.8,1.0002
