variavel,n,min,max,amplitude_total,k_sturges,h_amplitude_classe,classe_intervalo,xi_ponto_medio,fi,fr,Fi,Fr,valor
residual sugar,6497.0,0.6,65.8,65.2,14.0,5.0,"[0.6, 5.6)",3.0999999999999996,4064,0.6255194705248577,4064,0.6255194705248577,
residual sugar,6497.0,0.6,65.8,65.2,14.0,5.0,"[5.6, 10.6)",8.1,1327,0.20424811451439126,5391,0.829767585039249,
residual sugar,6497.0,0.6,65.8,65.2,14.0,5.0,"[10.6, 15.6)",13.1,843,0.12975219331999385,6234,0.9595197783592428,
residual sugar,6497.0,0.6,65.8,65.2,14.0,5.0,"[15.6, 20.6)",18.1,250,0.038479298137601974,6484,0.9979990764968448,
residual sugar,6497.0,0.6,65.8,65.2,14.0,5.0,"[20.6, 25.6)",23.1,8,0.001231337540403263,6492,0.9992304140372481,
residual sugar,6497.0,0.6,65.8,65.2,14.0,5.0,"[25.6, 30.6)",28.1,2,0.00030783438510081576,6494,0.999538248422349,
residual sugar,6497.0,0.6,65.8,65.2,14.0,5.0,"[30.6, 35.6)",33.1,2,0.00030783438510081576,6496,0.9998460828074498,
residual sugar,6497.0,0.6,65.8,65.2,14.0,5.0,"[35.6, 40.6)",38.1,0,0.0,6496,0.9998460828074498,
residual sugar,6497.0,0.6,65.8,65.2,14.0,5.0,"[40.6, 45.6)",43.1,0,0.0,6496,0.9998460828074498,
residual sugar,6497.0,0.6,65.8,65.2,14.0,5.0,"[45.6, 50.6)",48.1,0,0.0,6496,0.9998460828074498,
residual sugar,6497.0,0.6,65.8,65.2,14.0,5.0,"[50.6, 55.6)",53.1,0,0.0,6496,0.9998460828074498,
residual sugar,6497.0,0.6,65.8,65.2,14.0,5.0,"[55.6, 60.6)",58.1,0,0.0,6496,0.9998460828074498,
residual sugar,6497.0,0.6,65.8,65.2,14.0,5.0,"[60.6, 65.6)",63.099999999999994,0,0.0,6496,0.9998460828074498,
residual sugar,6497.0,0.6,65.8,65.2,14.0,5.0,"[65.6, 70.6)",68.1,1,0.00015391719255040788,6497,1.0000000000000002,
chlorides,6497.0,0.009,0.611,0.602,14.0,1.0,"[0.009, 1.009)",0.5089999999999999,6497,1.0,6497,1.0,
chlorides,6497.0,0.009,0.611,0.602,14.0,1.0,"[1.009, 2.009)",1.509,0,0.0,6497,1.0,
chlorides,6497.0,0.009,0.611,0.602,14.0,1.0,"[2.009, 3.009)",2.509,0,0.0,6497,1.0,
chlorides,6497.0,0.009,0.611,0.602,14.0,1.0,"[3.009, 4.009)",3.5090000000000003,0,0.0,6497,1.0,
chlorides,6497.0,0.009,0.611,0.602,14.0,1.0,"[4.009, 5.009)",4.509,0,0.0,6497,1.0,
chlorides,6497.0,0.009,0.611,0.602,14.0,1.0,"[5.009, 6.009)",5.509,0,0.0,6497,1.0,
chlorides,6497.0,0.009,0.611,0.602,14.0,1.0,"[6.009, 7.009)",6.509,0,0.0,6497,1.0,
chlorides,6497.0,0.009,0.611,0.602,14.0,1.0,"[7.009, 8.009)",7.509,0,0.0,6497,1.0,
chlorides,6497.0,0.009,0.611,0.602,14.0,1.0,"[8.009, 9.009)",8.509,0,0.0,6497,1.0,
chlorides,6497.0,0.009,0.611,0.602,14.0,1.0,"[9.009, 10.009)",9.509,0,0.0,6497,1.0,
chlorides,6497.0,0.009,0.611,0.602,14.0,1.0,"[10.009, 11.009)",10.509,0,0.0,6497,1.0,
chlorides,6497.0,0.009,0.611,0.602,14.0,1.0,"[11.009, 12.009)",11.509,0,0.0,6497,1.0,
chlorides,6497.0,0.009,0.611,0.602,14.0,1.0,"[12.009, 13.009)",12.509,0,0.0,6497,1.0,
chlorides,6497.0,0.009,0.611,0.602,14.0,1.0,"[13.009, 14.009)",13.509,0,0.0,6497,1.0,
free sulfur dioxide,6497.0,1.0,289.0,288.0,14.0,21.0,"[1.0, 22.0)",11.5,2230,0.3432353393874096,2230,0.3432353393874096,
free sulfur dioxide,6497.0,1.0,289.0,288.0,14.0,21.0,"[22.0, 43.0)",32.5,2751,0.4234261967061721,4981,0.7666615360935817,
free sulfur dioxide,6497.0,1.0,289.0,288.0,14.0,21.0,"[43.0, 64.0)",53.5,1275,0.19624442050177004,6256,0.9629059565953517,
free sulfur dioxide,6497.0,1.0,289.0,288.0,14.0,21.0,"[64.0, 85.0)",74.5,205,0.03155302447283362,6461,0.9944589810681853,
free sulfur dioxide,6497.0,1.0,289.0,288.0,14.0,21.0,"[85.0, 106.0)",95.5,23,0.003540095428659381,6484,0.9979990764968447,
free sulfur dioxide,6497.0,1.0,289.0,288.0,14.0,21.0,"[106.0, 127.0)",116.5,8,0.001231337540403263,6492,0.999230414037248,
free sulfur dioxide,6497.0,1.0,289.0,288.0,14.0,21.0,"[127.0, 148.0)",137.5,4,0.0006156687702016315,6496,0.9998460828074496,
free sulfur dioxide,6497.0,1.0,289.0,288.0,14.0,21.0,"[148.0, 169.0)",158.5,0,0.0,6496,0.9998460828074496,
free sulfur dioxide,6497.0,1.0,289.0,288.0,14.0,21.0,"[169.0, 190.0)",179.5,0,0.0,6496,0.9998460828074496,
free sulfur dioxide,6497.0,1.0,289.0,288.0,14.0,21.0,"[190.0, 211.0)",200.5,0,0.0,6496,0.9998460828074496,
free sulfur dioxide,6497.0,1.0,289.0,288.0,14.0,21.0,"[211.0, 232.0)",221.5,0,0.0,6496,0.9998460828074496,
free sulfur dioxide,6497.0,1.0,289.0,288.0,14.0,21.0,"[232.0, 253.0)",242.5,0,0.0,6496,0.9998460828074496,
free sulfur dioxide,6497.0,1.0,289.0,288.0,14.0,21.0,"[253.0, 274.0)",263.5,0,0.0,6496,0.9998460828074496,
free sulfur dioxide,6497.0,1.0,289.0,288.0,14.0,21.0,"[274.0, 295.0)",284.5,1,0.00015391719255040788,6497,1.0,
total sulfur dioxide,6497.0,6.0,440.0,434.0,14.0,31.0,"[6.0, 37.0)",21.5,791,0.12174849930737264,791,0.12174849930737264,
total sulfur dioxide,6497.0,6.0,440.0,434.0,14.0,31.0,"[37.0, 68.0)",52.5,613,0.09435123903340004,1404,0.21609973834077267,
total sulfur dioxide,6497.0,6.0,440.0,434.0,14.0,31.0,"[68.0, 99.0)",83.5,911,0.14021856241342157,2315,0.35631830075419424,
total sulfur dioxide,6497.0,6.0,440.0,434.0,14.0,31.0,"[99.0, 130.0)",114.5,1472,0.2265661074342004,3787,0.5828844081883946,
total sulfur dioxide,6497.0,6.0,440.0,434.0,14.0,31.0,"[130.0, 161.0)",145.5,1261,0.19408957980606434,5048,0.7769739879944589,
total sulfur dioxide,6497.0,6.0,440.0,434.0,14.0,31.0,"[161.0, 192.0)",176.5,895,0.13775588733261504,5943,0.914729875327074,
total sulfur dioxide,6497.0,6.0,440.0,434.0,14.0,31.0,"[192.0, 223.0)",207.5,408,0.06279821456056642,6351,0.9775280898876404,
total sulfur dioxide,6497.0,6.0,440.0,434.0,14.0,31.0,"[223.0, 254.0)",238.5,129,0.019855317839002618,6480,0.997383407726643,
total sulfur dioxide,6497.0,6.0,440.0,434.0,14.0,31.0,"[254.0, 285.0)",269.5,9,0.0013852547329536709,6489,0.9987686624595967,
total sulfur dioxide,6497.0,6.0,440.0,434.0,14.0,31.0,"[285.0, 316.0)",300.5,5,0.0007695859627520394,6494,0.9995382484223487,
total sulfur dioxide,6497.0,6.0,440.0,434.0,14.0,31.0,"[316.0, 347.0)",331.5,1,0.00015391719255040788,6495,0.9996921656148992,
total sulfur dioxide,6497.0,6.0,440.0,434.0,14.0,31.0,"[347.0, 378.0)",362.5,1,0.00015391719255040788,6496,0.9998460828074496,
total sulfur dioxide,6497.0,6.0,440.0,434.0,14.0,31.0,"[378.0, 409.0)",393.5,0,0.0,6496,0.9998460828074496,
total sulfur dioxide,6497.0,6.0,440.0,434.0,14.0,31.0,"[409.0, 471.0)",440.0,1,0.00015391719255040788,6497,1.0,
density,6497.0,0.98711,1.03898,0.05186999999999997,14.0,1.0,"[0.987, 1.987)",1.487,6497,1.0,6497,1.0,
density,6497.0,0.98711,1.03898,0.05186999999999997,14.0,1.0,"[1.987, 2.987)",2.487,0,0.0,6497,1.0,
density,6497.0,0.98711,1.03898,0.05186999999999997,14.0,1.0,"[2.987, 3.987)",3.487,0,0.0,6497,1.0,
density,6497.0,0.98711,1.03898,0.05186999999999997,14.0,1.0,"[3.987, 4.987)",4.487,0,0.0,6497,1.0,
density,6497.0,0.98711,1.03898,0.05186999999999997,14.0,1.0,"[4.987, 5.987)",5.487,0,0.0,6497,1.0,
density,6497.0,0.98711,1.03898,0.05186999999999997,14.0,1.0,"[5.987, 6.987)",6.487,0,0.0,6497,1.0,
density,6497.0,0.98711,1.03898,0.05186999999999997,14.0,1.0,"[6.987, 7.987)",7.487,0,0.0,6497,1.0,
density,6497.0,0.98711,1.03898,0.05186999999999997,14.0,1.0,"[7.987, 8.987)",8.487,0,0.0,6497,1.0,
density,6497.0,0.98711,1.03898,0.05186999999999997,14.0,1.0,"[8.987, 9.987)",9.487,0,0.0,6497,1.0,
density,6497.0,0.98711,1.03898,0.05186999999999997,14.0,1.0,"[9.987, 10.987)",10.487,0,0.0,6497,1.0,
density,6497.0,0.98711,1.03898,0.05186999999999997,14.0,1.0,"[10.987, 11.987)",11.487,0,0.0,6497,1.0,
density,6497.0,0.98711,1.03898,0.05186999999999997,14.0,1.0,"[11.987, 12.987)",12.487,0,0.0,6497,1.0,
density,6497.0,0.98711,1.03898,0.05186999999999997,14.0,1.0,"[12.987, 13.987)",13.487,0,0.0,6497,1.0,
density,6497.0,0.98711,1.03898,0.05186999999999997,14.0,1.0,"[13.987, 14.987)",14.487,0,0.0,6497,1.0,
pH,6497.0,2.72,4.01,1.2899999999999996,14.0,1.0,"[2.72, 3.72)",3.22,6469,0.9956903186085886,6469,0.9956903186085886,
pH,6497.0,2.72,4.01,1.2899999999999996,14.0,1.0,"[3.72, 4.72)",4.22,28,0.004309681391411421,6497,1.0,
pH,6497.0,2.72,4.01,1.2899999999999996,14.0,1.0,"[4.72, 5.72)",5.22,0,0.0,6497,1.0,
pH,6497.0,2.72,4.01,1.2899999999999996,14.0,1.0,"[5.72, 6.72)",6.22,0,0.0,6497,1.0,
pH,6497.0,2.72,4.01,1.2899999999999996,14.0,1.0,"[6.72, 7.72)",7.22,0,0.0,6497,1.0,
pH,6497.0,2.72,4.01,1.2899999999999996,14.0,1.0,"[7.72, 8.72)",8.22,0,0.0,6497,1.0,
pH,6497.0,2.72,4.01,1.2899999999999996,14.0,1.0,"[8.72, 9.72)",9.22,0,0.0,6497,1.0,
pH,6497.0,2.72,4.01,1.2899999999999996,14.0,1.0,"[9.72, 10.72)",10.22,0,0.0,6497,1.0,
pH,6497.0,2.72,4.01,1.2899999999999996,14.0,1.0,"[10.72, 11.72)",11.22,0,0.0,6497,1.0,
pH,6497.0,2.72,4.01,1.2899999999999996,14.0,1.0,"[11.72, 12.72)",12.22,0,0.0,6497,1.0,
pH,6497.0,2.72,4.01,1.2899999999999996,14.0,1.0,"[12.72, 13.72)",13.22,0,0.0,6497,1.0,
pH,6497.0,2.72,4.01,1.2899999999999996,14.0,1.0,"[13.72, 14.72)",14.22,0,0.0,6497,1.0,
pH,6497.0,2.72,4.01,1.2899999999999996,14.0,1.0,"[14.72, 15.72)",15.22,0,0.0,6497,1.0,
pH,6497.0,2.72,4.01,1.2899999999999996,14.0,1.0,"[15.72, 16.72)",16.22,0,0.0,6497,1.0,
sulphates,6497.0,0.22,2.0,1.78,14.0,1.0,"[0.22, 1.22)",0.72,6479,0.9972294905340927,6479,0.9972294905340927,
sulphates,6497.0,0.22,2.0,1.78,14.0,1.0,"[1.22, 2.22)",1.7200000000000002,18,0.0027705094659073418,6497,1.0,
sulphates,6497.0,0.22,2.0,1.78,14.0,1.0,"[2.22, 3.22)",2.72,0,0.0,6497,1.0,
sulphates,6497.0,0.22,2.0,1.78,14.0,1.0,"[3.22, 4.22)",3.7199999999999998,0,0.0,6497,1.0,
sulphates,6497.0,0.22,2.0,1.78,14.0,1.0,"[4.22, 5.22)",4.72,0,0.0,6497,1.0,
sulphates,6497.0,0.22,2.0,1.78,14.0,1.0,"[5.22, 6.22)",5.72,0,0.0,6497,1.0,
sulphates,6497.0,0.22,2.0,1.78,14.0,1.0,"[6.22, 7.22)",6.72,0,0.0,6497,1.0,
sulphates,6497.0,0.22,2.0,1.78,14.0,1.0,"[7.22, 8.22)",7.720000000000001,0,0.0,6497,1.0,
sulphates,6497.0,0.22,2.0,1.78,14.0,1.0,"[8.22, 9.22)",8.72,0,0.0,6497,1.0,
sulphates,6497.0,0.22,2.0,1.78,14.0,1.0,"[9.22, 10.22)",9.72,0,0.0,6497,1.0,
sulphates,6497.0,0.22,2.0,1.78,14.0,1.0,"[10.22, 11.22)",10.72,0,0.0,6497,1.0,
sulphates,6497.0,0.22,2.0,1.78,14.0,1.0,"[11.22, 12.22)",11.72,0,0.0,6497,1.0,
sulphates,6497.0,0.22,2.0,1.78,14.0,1.0,"[12.22, 13.22)",12.72,0,0.0,6497,1.0,
sulphates,6497.0,0.22,2.0,1.78,14.0,1.0,"[13.22, 14.22)",13.72,0,0.0,6497,1.0,
alcohol,6497.0,8.0,14.9,6.9,14.0,1.0,"[8.0, 9.0)",8.5,324,0.04986917038633215,324,0.04986917038633215,
alcohol,6497.0,8.0,14.9,6.9,14.0,1.0,"[9.0, 10.0)",9.5,2279,0.35077728182237955,2603,0.4006464522087117,
alcohol,6497.0,8.0,14.9,6.9,14.0,1.0,"[10.0, 11.0)",10.5,1708,0.26289056487609663,4311,0.6635370170848083,
alcohol,6497.0,8.0,14.9,6.9,14.0,1.0,"[11.0, 12.0)",11.5,1211,0.18639372017854394,5522,0.8499307372633522,
alcohol,6497.0,8.0,14.9,6.9,14.0,1.0,"[12.0, 13.0)",12.5,808,0.12436509158072957,6330,0.9742958288440818,
alcohol,6497.0,8.0,14.9,6.9,14.0,1.0,"[13.0, 14.0)",13.5,152,0.023395413267661997,6482,0.9976912421117439,
alcohol,6497.0,8.0,14.9,6.9,14.0,1.0,"[14.0, 15.0)",14.5,15,0.0023087578882561182,6497,1.0,
alcohol,6497.0,8.0,14.9,6.9,14.0,1.0,"[15.0, 16.0)",15.5,0,0.0,6497,1.0,
alcohol,6497.0,8.0,14.9,6.9,14.0,1.0,"[16.0, 17.0)",16.5,0,0.0,6497,1.0,
alcohol,6497.0,8.0,14.9,6.9,14.0,1.0,"[17.0, 18.0)",17.5,0,0.0,6497,1.0,
alcohol,6497.0,8.0,14.9,6.9,14.0,1.0,"[18.0, 19.0)",18.5,0,0.0,6497,1.0,
alcohol,6497.0,8.0,14.9,6.9,14.0,1.0,"[19.0, 20.0)",19.5,0,0.0,6497,1.0,
alcohol,6497.0,8.0,14.9,6.9,14.0,1.0,"[20.0, 21.0)",20.5,0,0.0,6497,1.0,
alcohol,6497.0,8.0,14.9,6.9,14.0,1.0,"[21.0, 22.0)",21.5,0,0.0,6497,1.0,
quality,,,,,,,,,30,0.0046175157765122364,30,0.0046175157765122364,3
quality,,,,,,,,,216,0.0332461135908881,246,0.03786362936740034,4
quality,,,,,,,,,2138,0.32907495767277206,2384,0.3669385870401724,5
quality,,,,,,,,,2836,0.43650915807295676,5220,0.8034477451131292,6
quality,,,,,,,,,1079,0.1660766507618901,6299,0.9695243958750193,7
quality,,,,,,,,,193,0.02970601816222872,6492,0.999230414037248,8
quality,,,,,,,,,5,0.0007695859627520394,6497,1.0,9
wine_type,,,,,,,,,1599,0.2461135908881022,1599,0.2461135908881022,red
wine_type,,,,,,,,,4898,0.7538864091118977,6497,1.0,white
